"to","from","points"
"CYP","BGR",7
"DNK","BGR",0
"ESP","BGR",0
"GBR","BGR",0
"DEU","BGR",0
"NLD","BGR",0
"AZE","BGR",3
"ITA","BGR",0
"IRL","BGR",0
"BEL","BGR",0
"EST","BGR",0
"AUS","BGR",0
"SRB","BGR",0
"AUT","BGR",0
"MDA","BGR",0
"HUN","BGR",0
"PRT","BGR",0
"ISR","HRV",8
"CZE","HRV",10
"NOR","HRV",12
"BLR","HRV",5
"FIN","HRV",0
"SWE","HRV",6
"FRA","HRV",2
"RUS","HRV",0
"UKR","HRV",0
"CYP","HRV",7
"DNK","HRV",1
"ESP","HRV",0
"GBR","HRV",0
"DEU","HRV",0
"NLD","HRV",0
"AZE","HRV",0
"ITA","HRV",0
"IRL","HRV",3
"BEL","HRV",0
"EST","HRV",0
"AUS","HRV",0
"SRB","HRV",4
"AUT","HRV",0
"MDA","HRV",0
"HUN","HRV",0
"PRT","HRV",0
"ISR","CYP",0
"CZE","CYP",2
"NOR","CYP",0
"BLR","CYP",0
"FIN","CYP",0
"SWE","CYP",3
"FRA","CYP",12
"RUS","CYP",8
"UKR","CYP",7
"CYP","CYP",0
"DNK","CYP",0
"ESP","CYP",0
"GBR","CYP",10
"DEU","CYP",6
"NLD","CYP",5
"AZE","CYP",4
"ITA","CYP",1
"IRL","CYP",0
"BEL","CYP",0
"EST","CYP",0
"AUS","CYP",0
"SRB","CYP",0
"AUT","CYP",0
"MDA","CYP",0
"HUN","CYP",0
"PRT","CYP",0
"ISR","CZE",10
"CZE","CZE",0
"NOR","CZE",12
"BLR","CZE",8
"FIN","CZE",5
"SWE","CZE",3
"FRA","CZE",1
"RUS","CZE",7
"UKR","CZE",6
"CYP","CZE",0
"DNK","CZE",0
"ESP","CZE",0
"GBR","CZE",0
"DEU","CZE",0
"NLD","CZE",0
"AZE","CZE",0
"ITA","CZE",0
"IRL","CZE",4
"BEL","CZE",2
"EST","CZE",0
"AUS","CZE",0
"SRB","CZE",0
"AUT","CZE",0
"MDA","CZE",0
"HUN","CZE",0
"PRT","CZE",0
"ISR","DNK",7
"CZE","DNK",6
"NOR","DNK",10
"BLR","DNK",1
"FIN","DNK",12
"SWE","DNK",8
"FRA","DNK",4
"RUS","DNK",0
"UKR","DNK",0
"CYP","DNK",0
"DNK","DNK",0
"ESP","DNK",0
"GBR","DNK",0
"DEU","DNK",5
"NLD","DNK",3
"AZE","DNK",0
"ITA","DNK",0
"IRL","DNK",0
"BEL","DNK",0
"EST","DNK",0
"AUS","DNK",2
"SRB","DNK",0
"AUT","DNK",0
"MDA","DNK",0
"HUN","DNK",0
"PRT","DNK",0
"ISR","EST",5
"CZE","EST",7
"NOR","EST",8
"BLR","EST",10
"FIN","EST",6
"SWE","EST",4
"FRA","EST",0
"RUS","EST",12
"UKR","EST",3
"CYP","EST",0
"DNK","EST",0
"ESP","EST",0
"GBR","EST",0
"DEU","EST",0
"NLD","EST",0
"AZE","EST",0
"ITA","EST",0
"IRL","EST",1
"BEL","EST",0
"EST","EST",0
"AUS","EST",2
"SRB","EST",0
"AUT","EST",0
"MDA","EST",0
"HUN","EST",0
"PRT","EST",0
"ISR","MKD",7
"CZE","MKD",8
"NOR","MKD",6
"BLR","MKD",5
"FIN","MKD",4
"SWE","MKD",12
"FRA","MKD",0
"RUS","MKD",0
"UKR","MKD",0
"CYP","MKD",10
"DNK","MKD",0
"ESP","MKD",0
"GBR","MKD",0
"DEU","MKD",0
"NLD","MKD",0
"AZE","MKD",0
"ITA","MKD",0
"IRL","MKD",0
"BEL","MKD",0
"EST","MKD",2
"AUS","MKD",0
"SRB","MKD",3
"AUT","MKD",0
"MDA","MKD",0
"HUN","MKD",0
"PRT","MKD",1
"ISR","FIN",7
"CZE","FIN",10
"NOR","FIN",12
"BLR","FIN",6
"FIN","FIN",0
"SWE","FIN",8
"FRA","FIN",2
"RUS","FIN",3
"UKR","FIN",4
"CYP","FIN",0
"DNK","FIN",0
"ESP","FIN",0
"GBR","FIN",0
"DEU","FIN",0
"NLD","FIN",0
"AZE","FIN",0
"ITA","FIN",0
"IRL","FIN",0
"BEL","FIN",0
"EST","FIN",5
"AUS","FIN",1
"SRB","FIN",0
"AUT","FIN",0
"MDA","FIN",0
"HUN","FIN",0
"PRT","FIN",0
"ISR","FRA",12
"CZE","FRA",10
"NOR","FRA",8
"BLR","FRA",0
"FIN","FRA",6
"SWE","FRA",3
"FRA","FRA",0
"RUS","FRA",1
"UKR","FRA",0
"CYP","FRA",0
"DNK","FRA",0
"ESP","FRA",7
"GBR","FRA",5
"DEU","FRA",0
"NLD","FRA",4
"AZE","FRA",0
"ITA","FRA",0
"IRL","FRA",0
"BEL","FRA",2
"EST","FRA",0
"AUS","FRA",0
"SRB","FRA",0
"AUT","FRA",0
"MDA","FRA",0
"HUN","FRA",0
"PRT","FRA",0
"ISR","GEO",6
"CZE","GEO",4
"NOR","GEO",8
"BLR","GEO",10
"FIN","GEO",0
"SWE","GEO",0
"FRA","GEO",7
"RUS","GEO",12
"UKR","GEO",3
"CYP","GEO",5
"DNK","GEO",0
"ESP","GEO",0
"GBR","GEO",0
"DEU","GEO",1
"NLD","GEO",0
"AZE","GEO",2
"ITA","GEO",0
"IRL","GEO",0
"BEL","GEO",0
"EST","GEO",0
"AUS","GEO",0
"SRB","GEO",0
"AUT","GEO",0
"MDA","GEO",0
"HUN","GEO",0
"PRT","GEO",0
"ISR","DEU",10
"CZE","DEU",12
"NOR","DEU",8
"BLR","DEU",6
"FIN","DEU",5
"SWE","DEU",3
"FRA","DEU",2
"RUS","DEU",7
"UKR","DEU",0
"CYP","DEU",1
"DNK","DEU",0
"ESP","DEU",0
"GBR","DEU",0
"DEU","DEU",0
"NLD","DEU",0
"AZE","DEU",0
"ITA","DEU",0
"IRL","DEU",0
"BEL","DEU",0
"EST","DEU",0
"AUS","DEU",0
"SRB","DEU",0
"AUT","DEU",4
"MDA","DEU",0
"HUN","DEU",0
"PRT","DEU",0
"ISR","GRC",10
"CZE","GRC",8
"NOR","GRC",7
"BLR","GRC",3
"FIN","GRC",5
"SWE","GRC",6
"FRA","GRC",4
"RUS","GRC",0
"UKR","GRC",0
"CYP","GRC",12
"DNK","GRC",1
"ESP","GRC",0
"GBR","GRC",0
"DEU","GRC",0
"NLD","GRC",0
"AZE","GRC",2
"ITA","GRC",0
"IRL","GRC",0
"BEL","GRC",0
"EST","GRC",0
"AUS","GRC",0
"SRB","GRC",0
"AUT","GRC",0
"MDA","GRC",0
"HUN","GRC",0
"PRT","GRC",0
"ISR","HUN",7
"CZE","HUN",10
"NOR","HUN",12
"BLR","HUN",5
"FIN","HUN",8
"SWE","HUN",3
"FRA","HUN",4
"RUS","HUN",0
"UKR","HUN",2
"CYP","HUN",0
"DNK","HUN",6
"ESP","HUN",0
"GBR","HUN",0
"DEU","HUN",0
"NLD","HUN",1
"AZE","HUN",0
"ITA","HUN",0
"IRL","HUN",0
"BEL","HUN",0
"EST","HUN",0
"AUS","HUN",0
"SRB","HUN",0
"AUT","HUN",0
"MDA","HUN",0
"HUN","HUN",0
"PRT","HUN",0
"ISR","ISL",5
"CZE","ISL",7
"NOR","ISL",8
"BLR","ISL",2
"FIN","ISL",12
"SWE","ISL",10
"FRA","ISL",3
"RUS","ISL",0
"UKR","ISL",4
"CYP","ISL",0
"DNK","ISL",6
"ESP","ISL",0
"GBR","ISL",0
"DEU","ISL",0
"NLD","ISL",0
"AZE","ISL",0
"ITA","ISL",0
"IRL","ISL",1
"BEL","ISL",0
"EST","ISL",0
"AUS","ISL",0
"SRB","ISL",0
"AUT","ISL",0
"MDA","ISL",0
"HUN","ISL",0
"PRT","ISL",0
"ISR","IRL",7
"CZE","IRL",8
"NOR","IRL",6
"BLR","IRL",2
"FIN","IRL",10
"SWE","IRL",3
"FRA","IRL",4
"RUS","IRL",1
"UKR","IRL",0
"CYP","IRL",0
"DNK","IRL",0
"ESP","IRL",5
"GBR","IRL",12
"DEU","IRL",0
"NLD","IRL",0
"AZE","IRL",0
"ITA","IRL",0
"IRL","IRL",0
"BEL","IRL",0
"EST","IRL",0
"AUS","IRL",0
"SRB","IRL",0
"AUT","IRL",0
"MDA","IRL",0
"HUN","IRL",0
"PRT","IRL",0
"ISR","ISR",0
"CZE","ISR",10
"NOR","ISR",7
"BLR","ISR",8
"FIN","ISR",3
"SWE","ISR",6
"FRA","ISR",5
"RUS","ISR",12
"UKR","ISR",4
"CYP","ISR",0
"DNK","ISR",0
"ESP","ISR",2
"GBR","ISR",0
"DEU","ISR",0
"NLD","ISR",0
"AZE","ISR",0
"ITA","ISR",0
"IRL","ISR",0
"BEL","ISR",1
"EST","ISR",0
"AUS","ISR",0
"SRB","ISR",0
"AUT","ISR",0
"MDA","ISR",0
"HUN","ISR",0
"PRT","ISR",0
"ISR","ITA",12
"CZE","ITA",10
"NOR","ITA",0
"BLR","ITA",2
"FIN","ITA",4
"SWE","ITA",7
"FRA","ITA",8
"RUS","ITA",1
"UKR","ITA",0
"CYP","ITA",0
"DNK","ITA",6
"ESP","ITA",5
"GBR","ITA",0
"DEU","ITA",0
"NLD","ITA",0
"AZE","ITA",0
"ITA","ITA",0
"IRL","ITA",0
"BEL","ITA",0
"EST","ITA",0
"AUS","ITA",0
"SRB","ITA",0
"AUT","ITA",3
"MDA","ITA",0
"HUN","ITA",0
"PRT","ITA",0
"ISR","LVA",7
"CZE","LVA",4
"NOR","LVA",8
"BLR","LVA",12
"FIN","LVA",3
"SWE","LVA",5
"FRA","LVA",0
"RUS","LVA",10
"UKR","LVA",6
"CYP","LVA",1
"DNK","LVA",0
"ESP","LVA",0
"GBR","LVA",0
"DEU","LVA",0
"NLD","LVA",0
"AZE","LVA",0
"ITA","LVA",0
"IRL","LVA",0
"BEL","LVA",0
"EST","LVA",2
"AUS","LVA",0
"SRB","LVA",0
"AUT","LVA",0
"MDA","LVA",0
"HUN","LVA",0
"PRT","LVA",0
"ISR","LTU",7
"CZE","LTU",12
"NOR","LTU",10
"BLR","LTU",8
"FIN","LTU",4
"SWE","LTU",5
"FRA","LTU",2
"RUS","LTU",6
"UKR","LTU",3
"CYP","LTU",1
"DNK","LTU",0
"ESP","LTU",0
"GBR","LTU",0
"DEU","LTU",0
"NLD","LTU",0
"AZE","LTU",0
"ITA","LTU",0
"IRL","LTU",0
"BEL","LTU",0
"EST","LTU",0
"AUS","LTU",0
"SRB","LTU",0
"AUT","LTU",0
"MDA","LTU",0
"HUN","LTU",0
"PRT","LTU",0
"ISR","MLT",8
"CZE","MLT",10
"NOR","MLT",6
"BLR","MLT",3
"FIN","MLT",12
"SWE","MLT",4
"FRA","MLT",1
"RUS","MLT",0
"UKR","MLT",0
"CYP","MLT",5
"DNK","MLT",0
"ESP","MLT",0
"GBR","MLT",0
"DEU","MLT",0
"NLD","MLT",2
"AZE","MLT",0
"ITA","MLT",0
"IRL","MLT",0
"BEL","MLT",0
"EST","MLT",0
"AUS","MLT",7
"SRB","MLT",0
"AUT","MLT",0
"MDA","MLT",0
"HUN","MLT",0
"PRT","MLT",0
"ISR","MDA",7
"CZE","MDA",6
"NOR","MDA",8
"BLR","MDA",12
"FIN","MDA",0
"SWE","MDA",0
"FRA","MDA",4
"RUS","MDA",10
"UKR","MDA",5
"CYP","MDA",0
"DNK","MDA",3
"ESP","MDA",0
"GBR","MDA",0
"DEU","MDA",0
"NLD","MDA",0
"AZE","MDA",0
"ITA","MDA",0
"IRL","MDA",0
"BEL","MDA",1
"EST","MDA",2
"AUS","MDA",0
"SRB","MDA",0
"AUT","MDA",0
"MDA","MDA",0
"HUN","MDA",0
"PRT","MDA",0
"ISR","MNE",5
"CZE","MNE",0
"NOR","MNE",10
"BLR","MNE",6
"FIN","MNE",0
"SWE","MNE",3
"FRA","MNE",0
"RUS","MNE",0
"UKR","MNE",8
"CYP","MNE",2
"DNK","MNE",0
"ESP","MNE",0
"GBR","MNE",0
"DEU","MNE",0
"NLD","MNE",0
"AZE","MNE",7
"ITA","MNE",0
"IRL","MNE",0
"BEL","MNE",0
"EST","MNE",4
"AUS","MNE",1
"SRB","MNE",12
"AUT","MNE",0
"MDA","MNE",0
"HUN","MNE",0
"PRT","MNE",0
"ISR","NLD",12
"CZE","NLD",10
"NOR","NLD",8
"BLR","NLD",5
"FIN","NLD",3
"SWE","NLD",4
"FRA","NLD",2
"RUS","NLD",0
"UKR","NLD",3
"CYP","NLD",0
"DNK","NLD",0
"ESP","NLD",1
"GBR","NLD",7
"DEU","NLD",0
"NLD","NLD",0
"AZE","NLD",0
"ITA","NLD",0
"IRL","NLD",0
"BEL","NLD",6
"EST","NLD",0
"AUS","NLD",0
"SRB","NLD",0
"AUT","NLD",0
"MDA","NLD",0
"HUN","NLD",0
"PRT","NLD",0
"ISR","NOR",10
"CZE","NOR",8
"NOR","NOR",0
"BLR","NOR",0
"FIN","NOR",5
"SWE","NOR",12
"FRA","NOR",7
"RUS","NOR",2
"UKR","NOR",0
"CYP","NOR",0
"DNK","NOR",4
"ESP","NOR",0
"GBR","NOR",0
"DEU","NOR",0
"NLD","NOR",0
"AZE","NOR",1
"ITA","NOR",0
"IRL","NOR",0
"BEL","NOR",0
"EST","NOR",0
"AUS","NOR",6
"SRB","NOR",0
"AUT","NOR",3
"MDA","NOR",0
"HUN","NOR",0
"PRT","NOR",0
"ISR","POL",7
"CZE","POL",10
"NOR","POL",12
"BLR","POL",8
"FIN","POL",4
"SWE","POL",5
"FRA","POL",3
"RUS","POL",2
"UKR","POL",6
"CYP","POL",1
"DNK","POL",0
"ESP","POL",0
"GBR","POL",0
"DEU","POL",0
"NLD","POL",0
"AZE","POL",0
"ITA","POL",0
"IRL","POL",0
"BEL","POL",0
"EST","POL",0
"AUS","POL",0
"SRB","POL",0
"AUT","POL",0
"MDA","POL",0
"HUN","POL",0
"PRT","POL",0
"ISR","PRT",10
"CZE","PRT",12
"NOR","PRT",3
"BLR","PRT",4
"FIN","PRT",8
"SWE","PRT",6
"FRA","PRT",7
"RUS","PRT",0
"UKR","PRT",0
"CYP","PRT",1
"DNK","PRT",0
"ESP","PRT",5
"GBR","PRT",0
"DEU","PRT",0
"NLD","PRT",0
"AZE","PRT",0
"ITA","PRT",0
"IRL","PRT",0
"BEL","PRT",2
"EST","PRT",0
"AUS","PRT",0
"SRB","PRT",0
"AUT","PRT",0
"MDA","PRT",0
"HUN","PRT",0
"PRT","PRT",0
"ISR","ROU",8
"CZE","ROU",10
"NOR","ROU",7
"BLR","ROU",12
"FIN","ROU",5
"SWE","ROU",2
"FRA","ROU",3
"RUS","ROU",0
"UKR","ROU",0
"CYP","ROU",4
"DNK","ROU",1
"ESP","ROU",0
"GBR","ROU",0
"DEU","ROU",0
"NLD","ROU",0
"AZE","ROU",0
"ITA","ROU",0
"IRL","ROU",0
"BEL","ROU",0
"EST","ROU",0
"AUS","ROU",0
"SRB","ROU",0
"AUT","ROU",0
"MDA","ROU",0
"HUN","ROU",6
"PRT","ROU",0
"ISR","RUS",8
"CZE","RUS",6
"NOR","RUS",10
"BLR","RUS",12
"FIN","RUS",1
"SWE","RUS",0
"FRA","RUS",4
"RUS","RUS",0
"UKR","RUS",7
"CYP","RUS",0
"DNK","RUS",3
"ESP","RUS",0
"GBR","RUS",0
"DEU","RUS",0
"NLD","RUS",0
"AZE","RUS",0
"ITA","RUS",0
"IRL","RUS",0
"BEL","RUS",0
"EST","RUS",2
"AUS","RUS",0
"SRB","RUS",0
"AUT","RUS",0
"MDA","RUS",5
"HUN","RUS",0
"PRT","RUS",0
"ISR","SMR",12
"CZE","SMR",0
"NOR","SMR",0
"BLR","SMR",0
"FIN","SMR",0
"SWE","SMR",0
"FRA","SMR",0
"RUS","SMR",0
"UKR","SMR",0
"CYP","SMR",0
"DNK","SMR",0
"ESP","SMR",0
"GBR","SMR",0
"DEU","SMR",0
"NLD","SMR",0
"AZE","SMR",0
"ITA","SMR",10
"IRL","SMR",0
"BEL","SMR",0
"EST","SMR",0
"AUS","SMR",0
"SRB","SMR",0
"AUT","SMR",0
"MDA","SMR",0
"HUN","SMR",0
"PRT","SMR",0
"ISR","SRB",8
"CZE","SRB",12
"NOR","SRB",10
"BLR","SRB",0
"FIN","SRB",5
"SWE","SRB",6
"FRA","SRB",3
"RUS","SRB",4
"UKR","SRB",2
"CYP","SRB",7
"DNK","SRB",0
"ESP","SRB",0
"GBR","SRB",0
"DEU","SRB",0
"NLD","SRB",0
"AZE","SRB",1
"ITA","SRB",0
"IRL","SRB",0
"BEL","SRB",0
"EST","SRB",0
"AUS","SRB",0
"SRB","SRB",0
"AUT","SRB",0
"MDA","SRB",0
"HUN","SRB",0
"PRT","SRB",0
"ISR","SVN",10
"CZE","SVN",12
"NOR","SVN",8
"BLR","SVN",7
"FIN","SVN",5
"SWE","SVN",6
"FRA","SVN",4
"RUS","SVN",0
"UKR","SVN",0
"CYP","SVN",0
"DNK","SVN",0
"ESP","SVN",0
"GBR","SVN",0
"DEU","SVN",0
"NLD","SVN",0
"AZE","SVN",0
"ITA","SVN",3
"IRL","SVN",2
"BEL","SVN",0
"EST","SVN",0
"AUS","SVN",0
"SRB","SVN",1
"AUT","SVN",0
"MDA","SVN",0
"HUN","SVN",0
"PRT","SVN",0
"ISR","ESP",10
"CZE","ESP",12
"NOR","ESP",5
"BLR","ESP",3
"FIN","ESP",4
"SWE","ESP",7
"FRA","ESP",8
"RUS","ESP",0
"UKR","ESP",0
"CYP","ESP",6
"DNK","ESP",2
"ESP","ESP",0
"GBR","ESP",0
"DEU","ESP",0
"NLD","ESP",0
"AZE","ESP",0
"ITA","ESP",0
"IRL","ESP",0
"BEL","ESP",1
"EST","ESP",0
"AUS","ESP",0
"SRB","ESP",0
"AUT","ESP",0
"MDA","ESP",0
"HUN","ESP",0
"PRT","ESP",0
"ISR","SWE",8
"CZE","SWE",7
"NOR","SWE",12
"BLR","SWE",4
"FIN","SWE",10
"SWE","SWE",0
"FRA","SWE",5
"RUS","SWE",3
"UKR","SWE",0
"CYP","SWE",2
"DNK","SWE",6
"ESP","SWE",0
"GBR","SWE",0
"DEU","SWE",0
"NLD","SWE",0
"AZE","SWE",0
"ITA","SWE",0
"IRL","SWE",1
"BEL","SWE",0
"EST","SWE",0
"AUS","SWE",0
"SRB","SWE",0
"AUT","SWE",0
"MDA","SWE",0
"HUN","SWE",0
"PRT","SWE",0
"ISR","CHE",10
"CZE","CHE",8
"NOR","CHE",5
"BLR","CHE",0
"FIN","CHE",2
"SWE","CHE",0
"FRA","CHE",12
"RUS","CHE",1
"UKR","CHE",0
"CYP","CHE",0
"DNK","CHE",0
"ESP","CHE",7
"GBR","CHE",0
"DEU","CHE",4
"NLD","CHE",0
"AZE","CHE",0
"ITA","CHE",3
"IRL","CHE",0
"BEL","CHE",0
"EST","CHE",0
"AUS","CHE",0
"SRB","CHE",0
"AUT","CHE",6
"MDA","CHE",0
"HUN","CHE",0
"PRT","CHE",0
"ISR","UKR",7
"CZE","UKR",6
"NOR","UKR",10
"BLR","UKR",12
"FIN","UKR",0
"SWE","UKR",1
"FRA","UKR",5
"RUS","UKR",8
"UKR","UKR",0
"CYP","UKR",0
"DNK","UKR",4
"ESP","UKR",0
"GBR","UKR",0
"DEU","UKR",0
"NLD","UKR",0
"AZE","UKR",0
"ITA","UKR",0
"IRL","UKR",0
"BEL","UKR",2
"EST","UKR",0
"AUS","UKR",0
"SRB","UKR",0
"AUT","UKR",0
"MDA","UKR",3
"HUN","UKR",0
"PRT","UKR",0
"ISR","GBR",10
"CZE","GBR",8
"NOR","GBR",7
"BLR","GBR",0
"FIN","GBR",12
"SWE","GBR",5
"FRA","GBR",2
"RUS","GBR",0
"UKR","GBR",0
"CYP","GBR",3
"DNK","GBR",0
"ESP","GBR",4
"GBR","GBR",0
"DEU","GBR",0
"NLD","GBR",0
"AZE","GBR",0
"ITA","GBR",0
"IRL","GBR",6
"BEL","GBR",0
"EST","GBR",0
"AUS","GBR",1
"SRB","GBR",0
"AUT","GBR",0
"MDA","GBR",0
"HUN","GBR",0
"PRT","GBR",0
