"to","from","points"
"FIN","BEL",1
"UKR","BEL",0
"FRA","BEL",10
"NLD","BEL",12
"DNK","BEL",0
"ALB","BEL",0
"EST","BEL",0
"ESP","BEL",4
"ITA","BEL",0
"GBR","BEL",0
"AUS","BEL",0
"MDA","BEL",0
"DEU","BEL",0
"AUT","BEL",0
"BEL","BEL",0
"PRT","BEL",0
"IRL","BEL",0
"HUN","BEL",0
"LVA","BEL",0
"ISR","BGR",6
"NOR","BGR",8
"CZE","BGR",10
"CYP","BGR",12
"BLR","BGR",7
"RUS","BGR",5
"SWE","BGR",1
"FIN","BGR",0
"UKR","BGR",4
"FRA","BGR",3
"NLD","BGR",0
"DNK","BGR",0
"ALB","BGR",0
"EST","BGR",2
"ESP","BGR",0
"ITA","BGR",0
"GBR","BGR",0
"AUS","BGR",0
"MDA","BGR",0
"DEU","BGR",0
"AUT","BGR",0
"BEL","BGR",0
"PRT","BGR",0
"IRL","BGR",0
"HUN","BGR",0
"LVA","BGR",0
"ISR","HRV",8
"NOR","HRV",7
"CZE","HRV",10
"CYP","HRV",12
"BLR","HRV",0
"RUS","HRV",0
"SWE","HRV",6
"FIN","HRV",1
"UKR","HRV",2
"FRA","HRV",0
"NLD","HRV",5
"DNK","HRV",0
"ALB","HRV",0
"EST","HRV",3
"ESP","HRV",0
"ITA","HRV",0
"GBR","HRV",0
"AUS","HRV",4
"MDA","HRV",0
"DEU","HRV",0
"AUT","HRV",0
"BEL","HRV",0
"PRT","HRV",0
"IRL","HRV",0
"HUN","HRV",0
"LVA","HRV",0
"ISR","CYP",12
"NOR","CYP",10
"CZE","CYP",8
"CYP","CYP",0
"BLR","CYP",6
"RUS","CYP",7
"SWE","CYP",4
"FIN","CYP",2
"UKR","CYP",1
"FRA","CYP",0
"NLD","CYP",3
"DNK","CYP",0
"ALB","CYP",5
"EST","CYP",0
"ESP","CYP",0
"ITA","CYP",0
"GBR","CYP",0
"AUS","CYP",0
"MDA","CYP",0
"DEU","CYP",0
"AUT","CYP",0
"BEL","CYP",0
"PRT","CYP",0
"IRL","CYP",0
"HUN","CYP",0
"LVA","CYP",0
"ISR","CZE",12
"NOR","CZE",10
"CZE","CZE",0
"CYP","CZE",4
"BLR","CZE",6
"RUS","CZE",7
"SWE","CZE",3
"FIN","CZE",5
"UKR","CZE",8
"FRA","CZE",1
"NLD","CZE",2
"DNK","CZE",0
"ALB","CZE",0
"EST","CZE",0
"ESP","CZE",0
"ITA","CZE",0
"GBR","CZE",0
"AUS","CZE",0
"MDA","CZE",0
"DEU","CZE",0
"AUT","CZE",0
"BEL","CZE",0
"PRT","CZE",0
"IRL","CZE",0
"HUN","CZE",0
"LVA","CZE",0
"ISR","DNK",6
"NOR","DNK",12
"CZE","DNK",5
"CYP","DNK",4
"BLR","DNK",0
"RUS","DNK",0
"SWE","DNK",8
"FIN","DNK",10
"UKR","DNK",0
"FRA","DNK",2
"NLD","DNK",7
"DNK","DNK",0
"ALB","DNK",0
"EST","DNK",3
"ESP","DNK",0
"ITA","DNK",0
"GBR","DNK",0
"AUS","DNK",0
"MDA","DNK",0
"DEU","DNK",1
"AUT","DNK",0
"BEL","DNK",0
"PRT","DNK",0
"IRL","DNK",0
"HUN","DNK",0
"LVA","DNK",0
"ISR","EST",6
"NOR","EST",8
"CZE","EST",5
"CYP","EST",1
"BLR","EST",10
"RUS","EST",12
"SWE","EST",4
"FIN","EST",7
"UKR","EST",3
"FRA","EST",2
"NLD","EST",0
"DNK","EST",0
"ALB","EST",0
"EST","EST",0
"ESP","EST",0
"ITA","EST",0
"GBR","EST",0
"AUS","EST",0
"MDA","EST",0
"DEU","EST",0
"AUT","EST",0
"BEL","EST",0
"PRT","EST",0
"IRL","EST",0
"HUN","EST",0
"LVA","EST",0
"ISR","MKD",8
"NOR","MKD",3
"CZE","MKD",10
"CYP","MKD",12
"BLR","MKD",6
"RUS","MKD",0
"SWE","MKD",2
"FIN","MKD",4
"UKR","MKD",5
"FRA","MKD",0
"NLD","MKD",0
"DNK","MKD",0
"ALB","MKD",7
"EST","MKD",1
"ESP","MKD",0
"ITA","MKD",0
"GBR","MKD",0
"AUS","MKD",0
"MDA","MKD",0
"DEU","MKD",0
"AUT","MKD",0
"BEL","MKD",0
"PRT","MKD",0
"IRL","MKD",0
"HUN","MKD",0
"LVA","MKD",0
"ISR","FIN",10
"NOR","FIN",12
"CZE","FIN",6
"CYP","FIN",4
"BLR","FIN",7
"RUS","FIN",5
"SWE","FIN",8
"FIN","FIN",0
"UKR","FIN",2
"FRA","FIN",1
"NLD","FIN",0
"DNK","FIN",0
"ALB","FIN",0
"EST","FIN",3
"ESP","FIN",0
"ITA","FIN",0
"GBR","FIN",0
"AUS","FIN",0
"MDA","FIN",0
"DEU","FIN",0
"AUT","FIN",0
"BEL","FIN",0
"PRT","FIN",0
"IRL","FIN",0
"HUN","FIN",0
"LVA","FIN",0
"ISR","FRA",12
"NOR","FRA",8
"CZE","FRA",7
"CYP","FRA",6
"BLR","FRA",0
"RUS","FRA",3
"SWE","FRA",5
"FIN","FRA",1
"UKR","FRA",0
"FRA","FRA",0
"NLD","FRA",10
"DNK","FRA",0
"ALB","FRA",0
"EST","FRA",0
"ESP","FRA",2
"ITA","FRA",0
"GBR","FRA",0
"AUS","FRA",0
"MDA","FRA",0
"DEU","FRA",0
"AUT","FRA",0
"BEL","FRA",0
"PRT","FRA",4
"IRL","FRA",0
"HUN","FRA",0
"LVA","FRA",0
"ISR","GEO",3
"NOR","GEO",8
"CZE","GEO",6
"CYP","GEO",5
"BLR","GEO",10
"RUS","GEO",12
"SWE","GEO",2
"FIN","GEO",0
"UKR","GEO",7
"FRA","GEO",4
"NLD","GEO",1
"DNK","GEO",0
"ALB","GEO",0
"EST","GEO",0
"ESP","GEO",0
"ITA","GEO",0
"GBR","GEO",0
"AUS","GEO",0
"MDA","GEO",0
"DEU","GEO",0
"AUT","GEO",0
"BEL","GEO",0
"PRT","GEO",0
"IRL","GEO",0
"HUN","GEO",0
"LVA","GEO",0
"ISR","DEU",12
"NOR","DEU",8
"CZE","DEU",10
"CYP","DEU",7
"BLR","DEU",4
"RUS","DEU",6
"SWE","DEU",2
"FIN","DEU",0
"UKR","DEU",3
"FRA","DEU",1
"NLD","DEU",5
"DNK","DEU",0
"ALB","DEU",0
"EST","DEU",0
"ESP","DEU",0
"ITA","DEU",0
"GBR","DEU",0
"AUS","DEU",0
"MDA","DEU",0
"DEU","DEU",0
"AUT","DEU",0
"BEL","DEU",0
"PRT","DEU",0
"IRL","DEU",0
"HUN","DEU",0
"LVA","DEU",0
"ISR","GRC",8
"NOR","GRC",10
"CZE","GRC",7
"CYP","GRC",12
"BLR","GRC",3
"RUS","GRC",4
"SWE","GRC",2
"FIN","GRC",0
"UKR","GRC",1
"FRA","GRC",0
"NLD","GRC",5
"DNK","GRC",0
"ALB","GRC",6
"EST","GRC",0
"ESP","GRC",0
"ITA","GRC",0
"GBR","GRC",0
"AUS","GRC",0
"MDA","GRC",0
"DEU","GRC",0
"AUT","GRC",0
"BEL","GRC",0
"PRT","GRC",0
"IRL","GRC",0
"HUN","GRC",0
"LVA","GRC",0
"ISR","HUN",8
"NOR","HUN",12
"CZE","HUN",10
"CYP","HUN",3
"BLR","HUN",2
"RUS","HUN",1
"SWE","HUN",6
"FIN","HUN",5
"UKR","HUN",7
"FRA","HUN",0
"NLD","HUN",0
"DNK","HUN",4
"ALB","HUN",0
"EST","HUN",0
"ESP","HUN",0
"ITA","HUN",0
"GBR","HUN",0
"AUS","HUN",0
"MDA","HUN",0
"DEU","HUN",0
"AUT","HUN",0
"BEL","HUN",0
"PRT","HUN",0
"IRL","HUN",0
"HUN","HUN",0
"LVA","HUN",0
"ISR","ISL",7
"NOR","ISL",10
"CZE","ISL",6
"CYP","ISL",2
"BLR","ISL",0
"RUS","ISL",0
"SWE","ISL",12
"FIN","ISL",8
"UKR","ISL",0
"FRA","ISL",4
"NLD","ISL",1
"DNK","ISL",5
"ALB","ISL",0
"EST","ISL",0
"ESP","ISL",0
"ITA","ISL",0
"GBR","ISL",3
"AUS","ISL",0
"MDA","ISL",0
"DEU","ISL",0
"AUT","ISL",0
"BEL","ISL",0
"PRT","ISL",0
"IRL","ISL",0
"HUN","ISL",0
"LVA","ISL",0
"ISR","IRL",8
"NOR","IRL",10
"CZE","IRL",7
"CYP","IRL",3
"BLR","IRL",0
"RUS","IRL",0
"SWE","IRL",4
"FIN","IRL",12
"UKR","IRL",0
"FRA","IRL",1
"NLD","IRL",0
"DNK","IRL",0
"ALB","IRL",0
"EST","IRL",0
"ESP","IRL",2
"ITA","IRL",0
"GBR","IRL",6
"AUS","IRL",5
"MDA","IRL",0
"DEU","IRL",0
"AUT","IRL",0
"BEL","IRL",0
"PRT","IRL",0
"IRL","IRL",0
"HUN","IRL",0
"LVA","IRL",0
"ISR","ISR",0
"NOR","ISR",10
"CZE","ISR",8
"CYP","ISR",5
"BLR","ISR",6
"RUS","ISR",12
"SWE","ISR",0
"FIN","ISR",3
"UKR","ISR",7
"FRA","ISR",4
"NLD","ISR",0
"DNK","ISR",0
"ALB","ISR",0
"EST","ISR",2
"ESP","ISR",1
"ITA","ISR",0
"GBR","ISR",0
"AUS","ISR",0
"MDA","ISR",0
"DEU","ISR",0
"AUT","ISR",0
"BEL","ISR",0
"PRT","ISR",0
"IRL","ISR",0
"HUN","ISR",0
"LVA","ISR",0
"ISR","ITA",12
"NOR","ITA",2
"CZE","ITA",7
"CYP","ITA",8
"BLR","ITA",0
"RUS","ITA",1
"SWE","ITA",0
"FIN","ITA",0
"UKR","ITA",3
"FRA","ITA",4
"NLD","ITA",10
"DNK","ITA",5
"ALB","ITA",6
"EST","ITA",0
"ESP","ITA",0
"ITA","ITA",0
"GBR","ITA",0
"AUS","ITA",0
"MDA","ITA",0
"DEU","ITA",0
"AUT","ITA",0
"BEL","ITA",0
"PRT","ITA",0
"IRL","ITA",0
"HUN","ITA",0
"LVA","ITA",0
"ISR","LVA",7
"NOR","LVA",8
"CZE","LVA",6
"CYP","LVA",0
"BLR","LVA",10
"RUS","LVA",12
"SWE","LVA",4
"FIN","LVA",1
"UKR","LVA",5
"FRA","LVA",0
"NLD","LVA",0
"DNK","LVA",0
"ALB","LVA",0
"EST","LVA",3
"ESP","LVA",0
"ITA","LVA",0
"GBR","LVA",0
"AUS","LVA",0
"MDA","LVA",2
"DEU","LVA",0
"AUT","LVA",0
"BEL","LVA",0
"PRT","LVA",0
"IRL","LVA",0
"HUN","LVA",0
"LVA","LVA",0
"ISR","LTU",10
"NOR","LTU",8
"CZE","LTU",12
"CYP","LTU",2
"BLR","LTU",4
"RUS","LTU",7
"SWE","LTU",6
"FIN","LTU",1
"UKR","LTU",5
"FRA","LTU",3
"NLD","LTU",0
"DNK","LTU",0
"ALB","LTU",0
"EST","LTU",0
"ESP","LTU",0
"ITA","LTU",0
"GBR","LTU",0
"AUS","LTU",0
"MDA","LTU",0
"DEU","LTU",0
"AUT","LTU",0
"BEL","LTU",0
"PRT","LTU",0
"IRL","LTU",0
"HUN","LTU",0
"LVA","LTU",0
"ISR","MLT",12
"NOR","MLT",10
"CZE","MLT",5
"CYP","MLT",6
"BLR","MLT",0
"RUS","MLT",3
"SWE","MLT",8
"FIN","MLT",7
"UKR","MLT",0
"FRA","MLT",2
"NLD","MLT",4
"DNK","MLT",0
"ALB","MLT",0
"EST","MLT",0
"ESP","MLT",0
"ITA","MLT",0
"GBR","MLT",0
"AUS","MLT",0
"MDA","MLT",0
"DEU","MLT",0
"AUT","MLT",0
"BEL","MLT",1
"PRT","MLT",0
"IRL","MLT",0
"HUN","MLT",0
"LVA","MLT",0
"ISR","MDA",6
"NOR","MDA",8
"CZE","MDA",5
"CYP","MDA",3
"BLR","MDA",12
"RUS","MDA",10
"SWE","MDA",0
"FIN","MDA",0
"UKR","MDA",7
"FRA","MDA",4
"NLD","MDA",0
"DNK","MDA",2
"ALB","MDA",0
"EST","MDA",0
"ESP","MDA",0
"ITA","MDA",0
"GBR","MDA",0
"AUS","MDA",1
"MDA","MDA",0
"DEU","MDA",0
"AUT","MDA",0
"BEL","MDA",0
"PRT","MDA",0
"IRL","MDA",0
"HUN","MDA",0
"LVA","MDA",0
"ISR","MNE",6
"NOR","MNE",8
"CZE","MNE",7
"CYP","MNE",10
"BLR","MNE",12
"RUS","MNE",0
"SWE","MNE",2
"FIN","MNE",0
"UKR","MNE",3
"FRA","MNE",0
"NLD","MNE",5
"DNK","MNE",0
"ALB","MNE",4
"EST","MNE",0
"ESP","MNE",0
"ITA","MNE",0
"GBR","MNE",0
"AUS","MNE",0
"MDA","MNE",0
"DEU","MNE",0
"AUT","MNE",0
"BEL","MNE",1
"PRT","MNE",0
"IRL","MNE",0
"HUN","MNE",0
"LVA","MNE",0
"ISR","NLD",12
"NOR","NLD",10
"CZE","NLD",8
"CYP","NLD",7
"BLR","NLD",2
"RUS","NLD",1
"SWE","NLD",5
"FIN","NLD",6
"UKR","NLD",3
"FRA","NLD",0
"NLD","NLD",0
"DNK","NLD",0
"ALB","NLD",0
"EST","NLD",0
"ESP","NLD",0
"ITA","NLD",0
"GBR","NLD",0
"AUS","NLD",0
"MDA","NLD",0
"DEU","NLD",0
"AUT","NLD",0
"BEL","NLD",4
"PRT","NLD",0
"IRL","NLD",0
"HUN","NLD",0
"LVA","NLD",0
"ISR","NOR",10
"NOR","NOR",0
"CZE","NOR",6
"CYP","NOR",7
"BLR","NOR",5
"RUS","NOR",0
"SWE","NOR",12
"FIN","NOR",8
"UKR","NOR",2
"FRA","NOR",3
"NLD","NOR",0
"DNK","NOR",4
"ALB","NOR",0
"EST","NOR",1
"ESP","NOR",0
"ITA","NOR",0
"GBR","NOR",0
"AUS","NOR",0
"MDA","NOR",0
"DEU","NOR",0
"AUT","NOR",0
"BEL","NOR",0
"PRT","NOR",0
"IRL","NOR",0
"HUN","NOR",0
"LVA","NOR",0
"ISR","POL",8
"NOR","POL",12
"CZE","POL",10
"CYP","POL",3
"BLR","POL",6
"RUS","POL",4
"SWE","POL",5
"FIN","POL",1
"UKR","POL",7
"FRA","POL",2
"NLD","POL",0
"DNK","POL",0
"ALB","POL",0
"EST","POL",0
"ESP","POL",0
"ITA","POL",0
"GBR","POL",0
"AUS","POL",0
"MDA","POL",0
"DEU","POL",0
"AUT","POL",0
"BEL","POL",0
"PRT","POL",0
"IRL","POL",0
"HUN","POL",0
"LVA","POL",0
"ISR","PRT",12
"NOR","PRT",8
"CZE","PRT",10
"CYP","PRT",7
"BLR","PRT",0
"RUS","PRT",4
"SWE","PRT",2
"FIN","PRT",5
"UKR","PRT",1
"FRA","PRT",3
"NLD","PRT",6
"DNK","PRT",0
"ALB","PRT",0
"EST","PRT",0
"ESP","PRT",0
"ITA","PRT",0
"GBR","PRT",0
"AUS","PRT",0
"MDA","PRT",0
"DEU","PRT",0
"AUT","PRT",0
"BEL","PRT",0
"PRT","PRT",0
"IRL","PRT",0
"HUN","PRT",0
"LVA","PRT",0
"ISR","ROU",10
"NOR","ROU",8
"CZE","ROU",7
"CYP","ROU",6
"BLR","ROU",12
"RUS","ROU",0
"SWE","ROU",4
"FIN","ROU",0
"UKR","ROU",5
"FRA","ROU",3
"NLD","ROU",0
"DNK","ROU",0
"ALB","ROU",0
"EST","ROU",0
"ESP","ROU",0
"ITA","ROU",0
"GBR","ROU",0
"AUS","ROU",0
"MDA","ROU",1
"DEU","ROU",0
"AUT","ROU",0
"BEL","ROU",0
"PRT","ROU",0
"IRL","ROU",0
"HUN","ROU",2
"LVA","ROU",0
"ISR","RUS",7
"NOR","RUS",10
"CZE","RUS",6
"CYP","RUS",2
"BLR","RUS",12
"RUS","RUS",0
"SWE","RUS",0
"FIN","RUS",0
"UKR","RUS",8
"FRA","RUS",3
"NLD","RUS",0
"DNK","RUS",1
"ALB","RUS",0
"EST","RUS",4
"ESP","RUS",0
"ITA","RUS",0
"GBR","RUS",0
"AUS","RUS",0
"MDA","RUS",5
"DEU","RUS",0
"AUT","RUS",0
"BEL","RUS",0
"PRT","RUS",0
"IRL","RUS",0
"HUN","RUS",0
"LVA","RUS",0
"ISR","SMR",0
"NOR","SMR",0
"CZE","SMR",10
"CYP","SMR",0
"BLR","SMR",0
"RUS","SMR",0
"SWE","SMR",8
"FIN","SMR",0
"UKR","SMR",0
"FRA","SMR",0
"NLD","SMR",0
"DNK","SMR",0
"ALB","SMR",7
"EST","SMR",0
"ESP","SMR",6
"ITA","SMR",12
"GBR","SMR",0
"AUS","SMR",0
"MDA","SMR",0
"DEU","SMR",0
"AUT","SMR",5
"BEL","SMR",0
"PRT","SMR",0
"IRL","SMR",0
"HUN","SMR",0
"LVA","SMR",0
"ISR","SRB",7
"NOR","SRB",8
"CZE","SRB",10
"CYP","SRB",12
"BLR","SRB",5
"RUS","SRB",3
"SWE","SRB",4
"FIN","SRB",2
"UKR","SRB",6
"FRA","SRB",0
"NLD","SRB",0
"DNK","SRB",0
"ALB","SRB",0
"EST","SRB",1
"ESP","SRB",0
"ITA","SRB",0
"GBR","SRB",0
"AUS","SRB",0
"MDA","SRB",0
"DEU","SRB",0
"AUT","SRB",0
"BEL","SRB",0
"PRT","SRB",0
"IRL","SRB",0
"HUN","SRB",0
"LVA","SRB",0
"ISR","SVN",12
"NOR","SVN",8
"CZE","SVN",10
"CYP","SVN",6
"BLR","SVN",1
"RUS","SVN",4
"SWE","SVN",7
"FIN","SVN",5
"UKR","SVN",2
"FRA","SVN",0
"NLD","SVN",0
"DNK","SVN",3
"ALB","SVN",0
"EST","SVN",0
"ESP","SVN",0
"ITA","SVN",0
"GBR","SVN",0
"AUS","SVN",0
"MDA","SVN",0
"DEU","SVN",0
"AUT","SVN",0
"BEL","SVN",0
"PRT","SVN",0
"IRL","SVN",0
"HUN","SVN",0
"LVA","SVN",0
"ISR","ESP",10
"NOR","ESP",7
"CZE","ESP",12
"CYP","ESP",8
"BLR","ESP",0
"RUS","ESP",3
"SWE","ESP",4
"FIN","ESP",2
"UKR","ESP",1
"FRA","ESP",6
"NLD","ESP",5
"DNK","ESP",0
"ALB","ESP",0
"EST","ESP",0
"ESP","ESP",0
"ITA","ESP",0
"GBR","ESP",0
"AUS","ESP",0
"MDA","ESP",0
"DEU","ESP",0
"AUT","ESP",0
"BEL","ESP",0
"PRT","ESP",0
"IRL","ESP",0
"HUN","ESP",0
"LVA","ESP",0
"ISR","SWE",10
"NOR","SWE",12
"CZE","SWE",7
"CYP","SWE",6
"BLR","SWE",0
"RUS","SWE",4
"SWE","SWE",0
"FIN","SWE",8
"UKR","SWE",1
"FRA","SWE",2
"NLD","SWE",0
"DNK","SWE",5
"ALB","SWE",0
"EST","SWE",0
"ESP","SWE",0
"ITA","SWE",0
"GBR","SWE",0
"AUS","SWE",3
"MDA","SWE",0
"DEU","SWE",0
"AUT","SWE",0
"BEL","SWE",0
"PRT","SWE",0
"IRL","SWE",0
"HUN","SWE",0
"LVA","SWE",0
"ISR","CHE",10
"NOR","CHE",3
"CZE","CHE",7
"CYP","CHE",8
"BLR","CHE",0
"RUS","CHE",1
"SWE","CHE",0
"FIN","CHE",2
"UKR","CHE",0
"FRA","CHE",12
"NLD","CHE",6
"DNK","CHE",0
"ALB","CHE",0
"EST","CHE",0
"ESP","CHE",5
"ITA","CHE",0
"GBR","CHE",0
"AUS","CHE",0
"MDA","CHE",0
"DEU","CHE",4
"AUT","CHE",0
"BEL","CHE",0
"PRT","CHE",0
"IRL","CHE",0
"HUN","CHE",0
"LVA","CHE",0
"ISR","UKR",8
"NOR","UKR",7
"CZE","UKR",6
"CYP","UKR",3
"BLR","UKR",12
"RUS","UKR",10
"SWE","UKR",1
"FIN","UKR",0
"UKR","UKR",0
"FRA","UKR",5
"NLD","UKR",0
"DNK","UKR",4
"ALB","UKR",0
"EST","UKR",2
"ESP","UKR",0
"ITA","UKR",0
"GBR","UKR",0
"AUS","UKR",0
"MDA","UKR",0
"DEU","UKR",0
"AUT","UKR",0
"BEL","UKR",0
"PRT","UKR",0
"IRL","UKR",0
"HUN","UKR",0
"LVA","UKR",0
"ISR","GBR",10
"NOR","GBR",7
"CZE","GBR",5
"CYP","GBR",8
"BLR","GBR",0
"RUS","GBR",0
"SWE","GBR",4
"FIN","GBR",12
"UKR","GBR",0
"FRA","GBR",2
"NLD","GBR",0
"DNK","GBR",0
"ALB","GBR",0
"EST","GBR",0
"ESP","GBR",1
"ITA","GBR",0
"GBR","GBR",0
"AUS","GBR",6
"MDA","GBR",0
"DEU","GBR",0
"AUT","GBR",0
"BEL","GBR",0
"PRT","GBR",0
"IRL","GBR",3
"HUN","GBR",0
"LVA","GBR",0
